C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.15,26.08.2025 23:01:28,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 6.16,26.08.2025 23:01:38,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 7.1,26.08.2025 23:01:48,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 7.2,26.08.2025 23:01:58,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 7.3,26.08.2025 23:02:08,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 7.4,26.08.2025 23:02:18,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 7.5,26.08.2025 23:02:28,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 7.6,26.08.2025 23:02:38,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 7.7,26.08.2025 23:02:48,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 7.8,26.08.2025 23:02:58,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 7.9,26.08.2025 23:03:08,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 8.1,26.08.2025 23:03:18,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 8.2,26.08.2025 23:03:28,pokla,DWG To PDF.pc3,ISO без полей A4 (210.00 x 297.00 мм),1:1,
C:\Users\pokla\Documents\Inventor\PNS2-Panaevsk\АТХ ВОС_Панаевск-33(2013).dwg,Лист 8.3,26.08.2025 23:03:38,pokla,DWG To PDF.pc3,ISO без полей A3 (420.00 x 297.00 мм),1:1,
